SMILES,Odor,Stimulus,CID
C=CCOC(=O)Cc1ccccc1,fruity; honey; pineapple; sweet,15717,15717
CCC(C)CS,sulfurous,15877,15877
CC(C)CCCC(C)CCCC(C)CCCC(C)C,fishy; oily; waxy,15979,15979
CCOC(=O)CCc1ccccc1,floral; fruity; honey; rum; sweet,16237,16237
CCCCCCCC(=O)OCCC(C)C,cognac; fatty; fruity; green; oily; pineapple; waxy; winey,16255,16255
CCCCCOC(=O)c1ccccc1,balsamic; floral; fruity; sweet,16296,16296
CCCCCOC(=O)c1ccccc1O,balsamic; floral; herbal; sweet,16299,16299
C=CCSSSCC=C,garlic; onion; roasted; savory,16315,16315
C=CCOC(=O)CCC,apple; apricot; fruity; green; pineapple,16324,16324
CCCCOC(=O)CCC(C)=O,caramellic; fatty; fruity; savory; sweet; waxy,16331,16331
C=CCCC=O,green; malty; sharp,16418,16418
C=C(C)C1CC=C(C=O)CC1,fatty; herbal; spicy,16441,16441
CC1=CCC(C(C)(C)OC=O)CC1,citrus; floral; herbal,16537,16537
CC(C)COc1ccc2ccccc2c1,fruity; strawberry; sweet,16582,16582
C=CCSSCC=C,garlic; pungent,16590,16590
C=CCSSCCC,alliaceous; garlic; onion; savory,16591,16591
CCCSSC,garlic; onion; radish; vegetable,16592,16592
CCCCCC(=O)OCCC(C)C,apple; banana; fruity; pineapple; waxy,16617,16617
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,mint,16666,16666
COc1cccc2ccccc12,orange,16668,16668
CCCCCCCOC(=O)CC,fruity; waxy; winey,16670,16670
S=C=NCCc1ccccc1,horseradish; pungent; radish; spicy; vegetable,16741,16741
CCCCCc1ccccn1,fatty; green; meaty; vegetable,16800,16800
CCCCCCCCC1CCC(=O)O1,fatty; fruity; peach,16821,16821
CCCCCC(=O)OC(C)C,fruity; pineapple; sweet,16832,16832
CCCCCCCCCC(=O)OC(C)C,fruity; green; oily; vegetable; woody,16833,16833
CCCOC(=O)c1ccccc1,balsamic; nutty,16846,16846
CC1=NCCS1,earthy; green; meaty; musty; nutty; roasted,16867,16867
CCCCCCOC(=O)C(C)C,apple; fruity; green; pear; sweet; tropical,16872,16872
CCCCCC=CC=CC=O,fatty; melon,16899,16899
COC(=O)CS,alliaceous; fruity; green; sulfurous,16907,16907
Cc1nc2ccccc2nc1C,fatty; roasted,16925,16925
CCC1C=CC(=O)O1,caramellic; coconut; coumarinic; fruity; spicy,16997,16997
CC1CCCC(C)(C)C1=O,camphoreous; tobacco,17000,17000
COC(=O)CCC(C)C,fruity,17008,17008
Cc1ccc(C)c(O)c1C,leathery; medicinal; phenolic; smoky; spicy; woody,17016,17016
CC1=CCC(C(C)(C)O)CC1,floral; sweet,17100,17100
C=CC(CCCCC)OC(C)=O,fresh; fruity; herbal; mushroom,17121,17121
CCC(C)COC(=O)C(C)CC,apple; berry; fruity; green; pineapple; tropical; waxy,17129,17129
CCCCCCC=CC=O,cucumber; fatty; green; melon,17166,17166
COc1cc(C(C)=O)cc(OC)c1O,balsamic; phenolic; spicy; sweet; vanilla,17198,17198
CC(=O)CCc1ccccc1,floral; fresh; green; jasmine,17355,17355
C1CCC(SSC2CCCCC2)CC1,berry; cocoa; coffee; green; meaty; musty; onion,17356,17356
CCCCCCOC(=O)CCC,fruity,17525,17525
CCOC(C)CC,berry; ethereal; fresh; fruity,17586,17586
C=CCOC(=O)CCC1CCCCC1,fruity; pineapple; sweet,17617,17617
COC(=O)c1ccccc1NC(C)=O,grape,17623,17623
CC1=CC(=O)CC1,caramellic; ketonic; sweet,17691,17691
CC1SC(C)SC(C)S1,black currant; catty; meaty; sulfurous,17696,17696
CCCc1ccc(O)c(OC)c1,balsamic; spicy; sweet,17739,17739
C=CCOC(=O)CC(C)C,apple; berry; cherry; fruity; winey,17816,17816
COc1nccnc1C,hazelnut; nutty; roasted,17898,17898
CCCCCCCCCCCCCCCCS,fatty; meaty; sulfurous,18015,18015
CCCCCCCCCCCCCCCC(C)=O,dairy; fatty,18027,18027
CSS(C)(=O)=O,alliaceous; onion; pungent; roasted,18064,18064
CC(C)C(C)C(C)(C)O,camphoreous; earthy,18280,18280
COc1cnccn1,cocoa; earthy; green; nutty; roasted; sweet; winey,18467,18467
CC1OCCC1=O,bread; buttery; caramellic; roasted; rum; sweet,18522,18522
CCc1ccco1,burnt; coffee; ethereal; musty; sweet,18554,18554
CSCCC=O,meaty; onion; potato; tomato,18635,18635
CCOC(=O)C1CCCCC1,apple; berry; brandy; cheesy; fermented; fruity,18686,18686
CCCCC1CCCC(=O)O1,coconut; fatty; oily; sweet,18698,18698
C=C1CCC2(C(C)C)CC12,citrus; spicy,18818,18818
C=CC(O)CCCCC,earthy; mushroom; sweet,18827,18827
CC(CCO)CC(C)(C)C,green; herbal; mint; oily,18938,18938
COCCc1ccccc1,floral; green; jasmine; rose,19089,19089
CC(=O)CCc1ccc(OC(C)=O)cc1,fruity; vanilla; woody,19137,19137
O=C(O)COc1ccccc1,honey; sour,19188,19188
COC(C)(C)CCCC(C)CC=O,floral; fresh; sweet,19223,19223
CC(C)[C@H]1CC[C@@H](C)CC1O,camphoreous; mint; musty; pine,19243,19243
CC1=C(O)C(=O)C(C)O1,caramellic; fruity; pineapple; roasted; strawberry,19309,19309
CSSSC,cabbage; garlic; onion,19310,19310
C=CCCCCC(C)=O,cheesy; fatty; herbal,19315,19315
C=C(C)CC(C)=O,burnt; ketonic; mint; sweet,19543,19543
CCCCCc1ccco1,earthy; fruity; green; vegetable,19602,19602
CCCCCCCc1ccco1,dairy; fatty; green; meaty; nutty; oily; tropical,19603,19603
CC(=O)CCC=C(C)CCC=C(C)C,aldehydic; floral; fresh; fruity; green; leafy; rose,19633,19633
CCOC(CC(C)C)OCC,cocoa; ethereal; fatty; fermented; fruity; green; malty,19695,19695
CCCC(=O)C(C)=O,buttery; creamy; sweet,19707,19707
CCCSC,green; onion; vegetable,19754,19754
CCOC(=O)C(C)(C)C,apple; fruity; rum,19838,19838
COC(=O)c1ccc(O)c(OC)c1,floral; fresh; green; spicy; sweet; vanilla,19844,19844
CC(C)(C)c1ccncc1,green; leafy; tobacco; woody,19878,19878
CCCSCC,onion; vegetable,20063,20063
CCCCCCC(C)O,earthy; floral; green; leafy; musty,20083,20083
CCC=CCC(=O)O,cheesy; fruity,20200,20200
C=CCOC(=O)CCCCCCC,apple; banana; fatty; fruity; pineapple; winey,20219,20219
Cc1cc2ccccc2o1,phenolic,20263,20263
CCCC(=O)Oc1ccccc1,aromatic; floral; fruity; honey; sweet,20354,20354
CCCCCCC1OCC(C)O1,fresh; fruity; green; herbal,20357,20357
O=COC1CCCCC1,fruity; sweet,20358,20358
O=C1CCC2CCCCC2O1,coumarinic; herbal; spicy; sweet,20487,20487
c1coc(CSSCc2ccco2)c1,coffee; meaty; roasted; sulfurous,20499,20499
OCCC1CCCCC1,floral; fresh,20508,20508
CCCCc1ccco1,burnt; musty; nutty; spicy; vegetable,20534,20534
CC(=O)C1CC=C(C)C1(C)C,camphoreous; fatty; herbal; pine; sweet; woody,20590,20590
CC(C)C1CCC(O)CC1,floral; rose,20739,20739
CC(C)=CCCC(C)O,citrus; fatty; floral; green; sweet,20745,20745
COC(=O)C1CCCCC1,berry; floral; fruity; milky; sweet,20748,20748
C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,citrus; grapefruit,20797,20797
CCOC(CC)OCC,apple; brandy; cognac; ethereal; fruity,20858,20858
CCC(OC)OC,brandy; cognac; ethereal; fruity,20859,20859
CCc1ccc(C=O)cc1,almond; anisic; cherry; green; herbal,20861,20861
C=CC(O)CCC,ethereal; rum,20928,20928
CCCCCc1cccs1,cheesy; fruity; mushroom; savory; sulfurous; tropical,20995,20995
O=C1CCCC1C1CCCC1,fresh; fruity; green; jasmine; mint,21003,21003
CCCCCCCCOC(=O)CCCCC,fruity; green; oily; sweet,21006,21006
C=CC(O)CCCC,buttery; cheesy; earthy; fruity; green; mushroom; sweet; vegetable,21057,21057
CCc1occc(=O)c1O,caramellic; fruity; sweet,21059,21059
C=CCCCCCC(C)=O,cheesy,21108,21108
CC(C)=CCOC(=O)c1ccccc1,balsamic; floral; sweet; tea,21265,21265
O=C(O)CC1CCCCC1,buttery; caramellic; cheesy; honey; waxy,21363,21363
CCCCCCOC(C)OCCCCCC,apple; fermented; fruity; green; herbal,21503,21503
CC(CC=O)CC(C)(C)C,green; herbal; spicy,21574,21574
CCCCCCC(=O)OCCCC,apple; fruity; green; herbal,21596,21596
CCCCCCCC(=O)OC(C)C,fatty; fruity; winey,21606,21606
CCOC(=O)CCS,fresh; fruity; grape; tropical,21625,21625
CC(=O)CCc1ccc(O)cc1,fruity; sweet,21648,21648
CCC(C)CCCCCCC(=O)O,fatty; waxy,21813,21813
OCC1COC(Cc2ccccc2)O1,floral; rose; sweet,21895,21895
Cc1nccnc1C,caramellic; cocoa; coffee; green; meaty; nutty; potato,22201,22201
C=CC1(C)CCC(C(C)(C)O)O1,creamy; earthy; floral; leafy; sweet,22310,22310
C=C(C)C1CC=C(C)CC1,citrus; gasoline,22311,22311
CCCSSSCCC,green; onion,22383,22383
CCCC(C)O,alcoholic; ethereal; solvent; winey,22386,22386
CCCCCCCCCCC(C)=O,citrus; floral; fruity,22556,22556
CC(=O)OCCOc1ccccc1,floral; fruity; herbal,22568,22568
CCCCCCOC(=O)c1ccccc1O,balsamic; floral; fruity; hay; herbal; spicy,22629,22629
CCCCCCCCCCCCOC(=O)C(C)O,burnt; dairy; fatty; fruity; oily,22692,22692
CCCCCCOC(=O)CCCCC,berry; fresh; fruity; green; sweet; tropical; vegetable; waxy,22873,22873
CSCCSC,alliaceous; dairy; garlic; sulfurous,23110,23110
CCCCC=CC=CC=O,cucumber; fatty; grassy; green; leafy; violet,23203,23203
CCCCCCOC(=O)c1ccccc1,balsamic; floral; green; herbal; woody,23235,23235
c1csc(SSc2cccs2)c1,brothy; savory,23347,23347
CCCCCC(=O)OCc1ccccc1,apricot; floral; fruity; green; peach; pineapple; sweet; tropical,23367,23367
CC(C)OC(=O)CCCCC(=O)OC(C)C,fruity,23368,23368
CC(=O)CC(=O)OC1CCCCC1,caramellic; fruity; sweet,23376,23376
CCCCCCCCCCCCCCC(=O)OC,fatty; oily; waxy,23518,23518
CCOC(OCC)C(C)Cc1ccc(C(C)C)cc1,floral; green; vegetable,23534,23534
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N,floral; green; orange,23535,23535
COc1ccccc1S,earthy; meaty; roasted; smoky; vanilla,23642,23642
CC=CC(=O)OCCCC,apple; cognac; fruity; green; herbal; pineapple; rum,23726,23726
CCOC(=O)C(C)CC,apple; fruity; green; strawberry,24020,24020
CCCCOC(=O)C(C)OC(=O)CCC,buttery; fruity; sour; sweet,24114,24114
CC(=O)C(=O)C(C)C,buttery; creamy; fruity; sweet,24115,24115
C=CCOC(=O)COc1ccccc1,fruity; honey; pineapple; sweet,24117,24117
CCOC(=O)CC(O)C(=O)OCC,apple; fruity; herbal; winey,24197,24197
CCCCOC(=O)c1ccccc1N,berry; fruity; grape; sweet; winey,24433,24433
C=C(C)C1CCC(C)C(=O)C1,mint,24473,24473
Nc1ccccc1C(=O)OC1CCCCC1,fatty; floral; fruity; grape; orange,24510,24510
CCCCCCCCCC(OC)OC,citrus; fatty; fruity; green; orange; waxy,24513,24513
CC(C)COC(=O)c1ccccc1N,fruity; orange; sweet,24515,24515
CCCCCCC(=O)OCC(C)C,cognac; fruity; green; winey,24516,24516
CCCCCCC(C)C=O,citrus; fatty; floral; orange; rose,24583,24583
C=C(C)C1CCC(C)CC1O,herbal; mint,24585,24585
CCOCCC(OCC)OCC,alcoholic; cognac; ethereal; fruity,24624,24624
CCOc1ccc(C=O)cc1,almond; anisic; cherry; sweet,24834,24834
C=CCc1ccc(OC=O)c(OC)c1,dry; orris; sweet; woody,24835,24835
CCCCCCOC(=O)C(C)CC,apple; fruity; green,24838,24838
CCC(C)N,cheesy; fishy; ripe,24874,24874
CCCC(=O)OC(C)(C)Cc1ccccc1,apricot; fruity; plum; tea,24915,24915
CCOC(=O)C1CC2C=CC1C2,fruity; green; honey,24986,24986
CCCCCCCCCCC(C)O,ethereal; fatty; fruity; oily,25045,25045
CCCCCCCCCCCC(=O)OC(C)C,creamy; dairy; fatty; floral; fruity; green; oily; waxy,25068,25068
C=CCc1ccc(OC(=O)Cc2ccccc2)c(OC)c1,aromatic; honey; spicy; sweet; warm,25238,25238
CCOC(C)OC,alcoholic; ethereal; green; nutty; pungent,25298,25298
CCCCCCCCCCCCC=O,citrus; fatty; orange; waxy,25311,25311
CCCCCCCCCCC(=O)OCCCC,cognac; fatty; fruity; oily; waxy,25404,25404
CCCCC(=O)C(C)C,cheesy; dairy; fruity; green; herbal,25611,25611
C=CCCCCCCCCO,aldehydic; fresh; rose; waxy,25612,25612
CCc1cnc(CC)cn1,cocoa; earthy; musty; nutty,25797,25797
CCc1cnc(C)cn1,cocoa; coffee; green; nutty; roasted,25915,25915
CCc1nc(C)cnc1C,almond; burnt; chocolate; cocoa; nutty,25916,25916
CC1=CCC2C(C1)C2(C)C,fresh; sweet,26049,26049
CC(C)(C)C1CCCCC1O,camphoreous; mint; pine,26068,26068
CC(=O)C(=O)CC(C)C,buttery; oily,26204,26204
CCc1cnccn1,buttery; musty; nutty,26331,26331
CCc1cncc(C)n1,cocoa; hazelnut; potato; roasted,26332,26332
Cc1nccnc1CC(C)C,earthy; herbal; vegetable,26333,26333
CCc1ncc(C)nc1C,almond; burnt; chocolate; cocoa; hazelnut; nutty,26334,26334
C=Cc1cnc(C)cn1,coffee,26335,26335
C=CC1(C)CCC(O)C(C)(C)O1,creamy; earthy; floral; fresh,26396,26396
CCCCCCCCCCCCCCCCC(=O)OCC,fatty; oily; waxy,26397,26397
CCCCCC=CC(C)=O,earthy; fruity; mushroom; sweet,26630,26630
Cc1cnc(C)c(C)n1,burnt; cocoa; coffee; nutty; potato; roasted,26808,26808
CC1(C)CCCC2(C)OC(=O)C=C12,floral; fruity; sweet; tea; tobacco,27209,27209
CCc1nc(C)cs1,cocoa; coffee; meaty; nutty; savory,27440,27440
CCc1nccnc1C,burnt; earthy; green; hazelnut; nutty; potato; roasted,27457,27457
CCc1nccnc1CC,earthy; nutty; potato; roasted,27458,27458
CCc1cnc(C)c(C)n1,almond; burnt; chocolate; cocoa; nutty,27460,27460
CC(C)=CC1CC(C)CCO1,earthy; green; rose,27866,27866
CC(=O)OC1CC(C)CCC1C(C)C,fresh; fruity; herbal; mint; sweet,27867,27867
CCC(C)C(=O)OC1CC(C)CCC1C(C)C,floral; fruity; herbal; mint; sweet,27868,27868
C=CC(CCCCC)OC(=O)CCC,buttery; earthy; mushroom,27892,27892
CCC(C)(C)C1CCC(=O)CC1,camphoreous; orris; woody,27941,27941
CCc1ncc(C)nc1CC,chocolate; hazelnut; meaty; nutty; roasted,28905,28905
CCc1cnc(C)c(CC)n1,cocoa; earthy; green; nutty,28906,28906
CCCCCCCCCCCCCCCCCCC(=O)OCC,odorless; waxy,29008,29008
C=CC(C)CCCC(C)(C)O,citrus; floral; fresh; herbal,29096,29096
CCCCCCCCC(C)C=O,citrus; dry; fatty; green; orange; waxy,29381,29381
Cc1nc(C(C)C)oc1C,earthy; green,29644,29644
C[C@H]1CCC[C@@]2(C)CCCC[C@]12O,earthy; green; herbal; musty,29746,29746
CCCCC(=O)Oc1ccccc1,fruity; medicinal; phenolic,29950,29950
CC1CC(=O)CC(C)(C)C1=O,sour; tea; tobacco,30181,30181
Cc1nc(C)c(C)o1,beefy; chocolate; fruity; green; meaty; nutty; sweet,30215,30215
CCCOC(C)OCC,alcoholic; cognac; ethereal; green; nutty; pungent,30220,30220
C=C(C)C(CC=C(C)C)COC(C)=O,fruity; herbal; spicy; sweet; warm,30247,30247
C=C(C)C1CCC(C)C(OC(C)=O)C1,floral; mint; rose; sweet,30248,30248
CC(=O)OCCC(C)CCCC(C)C,floral; fruity; honey; waxy,30249,30249
CCCCCCCC=CC=CC=O,chicken; fatty,30748,30748
CC(=O)OCCC1CCCCC1,fruity; mint; rose; sweet,30771,30771
CC(=O)c1cnccn1,bread; nutty; popcorn,30914,30914
CC(=O)c1cnc(C)cn1,bread; nutty; popcorn,30915,30915
CCCCOC(=O)Cc1ccccc1,honey; rose; sweet,31210,31210
COc1cc(CCC(C)=O)ccc1O,balsamic; spicy; sweet; vanilla,31211,31211
CCOC(OCC)OCC,camphoreous,31214,31214
CCC(=O)OCc1ccccc1,floral; fruity; jasmine,31219,31219
CCC(=O)OCCc1ccccc1,fruity; herbal; rose; spicy,31225,31225
CC(=O)OCCCc1ccccc1,balsamic; floral; honey; spicy,31226,31226
CC(=O)Oc1ccccc1,jasmine; metallic,31229,31229
COc1ccc(CC(C)=O)cc1,anisic,31231,31231
OCCCc1ccccc1,balsamic; floral,31234,31234
OCCOc1ccccc1,balsamic; floral; fresh; rose,31236,31236
CCCCC(C=O)CC,fruity; green,31241,31241
CCc1ccc(O)cc1,animal; phenolic; woody,31242,31242
COc1ccc(C=O)cc1,anisic; floral; fruity; hay; herbal; sweet; vanilla,31244,31244
CCCC(C)C=O,cheesy; cocoa; fruity; green,31245,31245
CCCC(=O)CCC,fruity; green; pungent,31246,31246
CCOC(=O)CCC(=O)OCC,ethereal; grape; green; winey,31249,31249
CCCCCCCCC(=O)OCC,cognac; fatty; grape; nutty; oily; waxy,31251,31251
Cc1cnc(C)cn1,chocolate; earthy; roasted,31252,31252
CC(=O)CC(C)(C)O,fresh; fruity; ketonic; mint,31256,31256
CC(C)CCO,alcoholic,31260,31260
CC1OC(C)OC(C)O1,fruity; musty; rum; sweet,31264,31264
CCCCCC(=O)OCC,banana; fruity; pear; pineapple; strawberry; tropical,31265,31265
C=CCOC(=O)CCCCC,fatty; fruity; pineapple; winey,31266,31266
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,fatty; odorless,31271,31271
CCCCOC(C)=O,banana; fruity; pear; pineapple; sweet,31272,31272
CC(=O)OCCC(C)C,banana; fruity; pear; sweet,31276,31276
CCCCCCCCCCCCCCCCCC(=O)OCCCC,fatty; fruity; odorless,31278,31278
CCCCCCCCCCCCCC(=O)OCC,fatty; sweet; waxy,31283,31283
CCCCCCCCCCCCCC(=O)OC,cognac; fatty; oily; orris,31284,31284
C=CCCCCCCC,gasoline,31285,31285
CCCCCCCCC=O,fatty; floral; rose; waxy,31289,31289
CCCCCCCCCCCCCC=O,citrus; fatty; waxy,31291,31291
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1,citrus; floral; fruity,31353,31353
CC1(C)C2CC=C(CCO)C1C2,camphoreous; citrus; pine; woody,31408,31408
CCC(=O)OCCOc1ccccc1,fruity,31954,31954
CC1SSC(C)S1,chicken; meaty; onion,32033,32033
CC(=O)c1nccnc1C,cocoa; coffee; hazelnut; nutty; popcorn; roasted,32093,32093
CC1NCCS1,fishy; meaty; sweet,32196,32196
COc1nccnc1CC(C)C,green,32594,32594
CCCCCOC(=O)CCC(C)C,apple; fruity; oily,32967,32967
N[C@@H](CCC(=O)O)C(=O)O,meaty,33032,33032
CCc1nccnc1OC,earthy; green; musty; nutty; vegetable,33135,33135
COc1nccnc1C(C)C,earthy; potato; vegetable,33166,33166
COc1ccccc1C,camphoreous; earthy,33637,33637
CC(S)S,cheesy; meaty; onion; roasted; savory; sulfurous,33645,33645
CCCCCc1cccc(=O)o1,buttery; coconut; creamy; dairy; peach,33960,33960
CCC=CCCC=CCO,cucumber; leafy; melon; vegetable,34134,34134
Cc1occc1S,beefy; brothy; fishy; meaty; roasted; sweet,34286,34286
Cc1ccsc1C,brothy; meaty; nutty; roasted; sweet,34295,34295
CC(C)c1cnccn1,green; nutty,34590,34590
C=C(C)C1CCC(C)CC1=O,green; mint; woody,34645,34645
CCCSSCC,fatty; garlic; green; onion; roasted; savory; sulfurous; vegetable,35349,35349
CCCCCCCCCC(=O)OCCCC,brandy; cognac; fruity; oily; sweet,35408,35408
CCC(=O)C1CC(C(C)C)CC=C1C,citrus; green; leafy,35785,35785
CC(=O)CCC1C(C)=CCCC1(C)C,floral; fruity; orris; violet; woody,35821,35821
C=Cc1cc(OC)c(O)c(OC)c1,phenolic; smoky; spicy,35960,35960
CC(=O)OC1CCC(C(C)(C)C)CC1,floral; orris; woody,36081,36081
CCc1nc(C)sc1C,burnt; coffee; earthy; potato,36098,36098
CCc1cnc(CC)c(C)n1,burnt; cocoa; hazelnut,36225,36225
c1cnc2c(n1)CCCC2,nutty; popcorn; roasted,36822,36822
CCC=CCCOC(=O)CC(C)C,apple; fruity; green,37065,37065
CCCCCCCCCCCCCCCCOC(=O)C(C)O,odorless,37098,37098
CC(=O)C(C)S,beefy; catty; coffee; meaty; onion; savory,38679,38679
CCCCCCCCCCCCCCC(=O)OCC,fatty; oily; waxy,38762,38762
CCCc1csc(C)n1,green; vegetable,39071,39071
CCCCCCCCC(=O)OCCCC,cognac; fruity; oily; rose; winey,39742,39742
C=CCCCCCCCCOC(C)=O,rose; waxy,39801,39801
CCCCCC1CC=CC(=O)O1,buttery; coconut; creamy,39914,39914
CCc1scnc1C,green; hazelnut; vegetable,40380,40380
Cc1nc(C(C)C)sc1C,earthy; nutty; potato; roasted,40787,40787
Cc1cc(S)c(C)o1,meaty; roasted; savory,41569,41569
Cc1cc(SC(=O)CC(C)C)c(C)o1,cocoa; creamy,41570,41570
CCCCCCCCCCCCCCCC=CC=O,fatty,41923,41923
C=CC=CCCCCC,gasoline,41971,41971
CC(=O)OCCC(C)CC(C)(C)C,fruity; orris; woody,42745,42745
CC(=O)CC(=O)O[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,floral; fresh; fruity; mint,43045,43045
CCCCCCCC(=O)Oc1ccc(C)cc1,animal; floral; herbal; oily,43046,43046
CCCC(=O)OC(C)CCC,banana; ethereal; fruity; green; peach; pineapple; plum; sharp; sweet,43263,43263
CCCSSc1ccoc1C,beefy; coffee; meaty; roasted,43579,43579
CSSc1ccoc1C,brothy; coffee; meaty; roasted; sulfurous,47649,47649
CCCC(=O)OCCC(C)CCCC(C)C,floral; fruity; rose,49988,49988
CC(=O)OC(C)CCCC(C)C,fruity; sweet,50006,50006
CC(C)=CCOC(=O)c1ccccc1O,floral; herbal; sweet; woody,50216,50216
CCCCC=CCC(=O)OC,fatty; fruity; green; melon; pear,50608,50608
CCOc1ccccc1CO,anisic; aromatic; sweet; vanilla,51381,51381
CCCCc1nc(C)c(C)s1,green; meaty; nutty; roasted; sulfurous,53517,53517
CC1=NC(C)OC1,meaty; nutty; roasted; vegetable,53654,53654
CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,camphoreous; earthy; fruity; green; herbal; mint; woody,60968,60968
CCOC(=O)c1ccc(OC)cc1,anisic; floral; sweet,60979,60979
CCCCC(=O)C(C)=O,buttery; cheesy; fatty; sweet,60983,60983
CC(C)=CCCC(C)CCOC(=O)C(C)C,fruity; rose; sweet,60985,60985
Cc1ccc(C(C)C=O)cc1,floral; fresh; green; herbal; sweet; woody,60990,60990
COC(Cc1ccccc1)OC,earthy; floral; green,60995,60995
Cc1ccc(OC(=O)Cc2ccccc2)cc1,animal,60997,60997
CC(C)COC(=O)Cc1ccccc1,floral; rose; sweet,60998,60998
O=C(Cc1ccccc1)OCc1ccccc1,floral; sweet,60999,60999
CC(C)C(=O)OCCOc1ccccc1,floral; fruity; honey,61005,61005
Cc1ccc(CC=O)cc1,cherry; fruity; green; melon; nutty; sweet,61006,61006
COc1ccc(CCC(C)=O)cc1,berry; floral; fruity; sweet,61007,61007
O=COCCCc1ccccc1,floral; green; honey; sweet,61010,61010
O=C1CCCCCCCCCCCC(=O)OCCO1,fatty; musk; oily; sweet,61014,61014
CCCCCCCCCCCC(=O)OCCCC,fatty; fruity; oily,61015,61015
CC(C)=CCCC(C)C=O,green; melon,61016,61016
CC(C)=CC=O,almond; fruity; nutty; spicy,61020,61020
CCCCCCCCOC(=O)C(C)C,earthy; fatty; fruity; green; herbal; vegetable,61024,61024
C=CCCCCCCCCC(=O)OCCCC,brandy; buttery; fatty; waxy; winey,61027,61027
CCCCCCCCOC(=O)CCC,fatty; floral; fruity; green; herbal,61030,61030
CCCCCCCCCC(C)C=O,dry; fatty; fruity,61031,61031
C=CCCCCCCCCCOC(C)=O,fatty; floral; honey; rose,61035,61035
C=CC(C)(CCC=C(C)C)OC=O,citrus; fresh; herbal,61040,61040
CC1=C(C=O)C(C)(C)CC=C1,camphoreous; tobacco,61041,61041
Cc1cccc(C)c1S,meaty; phenolic; roasted; smoky; sulfurous,61045,61045
CC(C)COC(=O)c1ccccc1,balsamic; floral; fruity; green; leafy; rose,61048,61048
CCCCCCCCOC(=O)Cc1ccccc1,citrus; fatty; floral; fruity; rose; sweet,61050,61050
CCC(=O)OCCCc1ccccc1,balsamic; floral,61052,61052
COc1ccc(COC=O)cc1,floral; green; spicy; sweet; vanilla,61054,61054
CC1(C)[C@H]2CC[C@@]1(C)[C@H](O)C2,camphoreous; pine,61060,61060
C=C(C)CCCC(C)CCOC(=O)C(C)C,floral; fruity; rose; sweet,61085,61085
C=C(C)CCCC(C)CCOC=O,fresh; fruity; green; leafy; rose,61092,61092
C=C(C)CCCC(C)CCOC(=O)CCC,fruity; rose; sweet,61093,61093
CCCCCCCCOC(=O)CC,fatty; fruity; sweet; waxy,61096,61096
C=CC(C)(CCC=C(C)C)OC(=O)CC,floral; fruity; rose; sweet,61098,61098
CC1=C(CC=O)C(C)(C)CCC1,fruity; sweet; tea; tobacco,61124,61124
CC12CCCC(O)(C1)C1CC(C)(C)C1CC2,dry; spicy; warm; woody,61125,61125
CC1=CC(O)C2CC1C2(C)C,camphoreous; mint; spicy; sweet,61126,61126
CC1(C)CCCC2(C)C1CCC1(C)OC(=O)CC12,tobacco,61129,61129
CC1(C)C2CC=C(C=O)C1C2,cinnamon; herbal; spicy,61130,61130
CCCCOCc1ccccc1,floral; fruity; rose; sharp; sweet,61134,61134
CCCCOC(=O)CCCC,ethereal; fruity,61137,61137
C=CCCC(=O)O,caramellic; cheesy; sour,61138,61138
COC(=O)c1ccccc1OC,anisic; herbal; musty; winey,61151,61151
C=Cc1ccccc1OC,earthy; leathery; medicinal; musty; spicy; woody,61153,61153
COc1ccccc1OC(C)=O,smoky; sweet,61155,61155
Cc1ccccc1OC(=O)c1ccccc1O,aromatic; mint; sweet,61159,61159
CC(C)OC(=O)C(C)O,buttery; caramellic; fruity; milky,61160,61160
CCC(=O)OCc1ccco1,banana; fruity; green; pear,61166,61166
CCCC(=O)OCc1ccco1,fruity; grape; green,61167,61167
CCSC(C)=O,garlic; meaty; sulfurous,61171,61171
CCCCCCOC=O,ethereal; fruity; green; sweet,61177,61177
CCC(=O)OCC1CCCO1,caramellic; fermented; fruity; sweet,61183,61183
CCCC(=O)OC(C)C,buttery; pineapple; strawberry,61184,61184
CCCCCCCC(=O)OCCCCC,fatty; floral; fruity; oily; sweet,61185,61185
CC(=O)OCCc1scnc1C,beefy; bread; brothy; chicken; nutty,61192,61192
CCC1OC(=O)C(O)=C1C,caramellic,61199,61199
Cc1ccc(C=O)c(O)c1,burnt; caramellic; coumarinic; sweet,61200,61200
CCCC(O)Cc1ccccc1,earthy; green; sweet,61202,61202
CCCCCCC1CCCC(=O)O1,creamy; fatty; peach,61204,61204
CC1CCC(=O)C1=O,caramellic,61209,61209
CC(S)CS,onion; sulfurous,61217,61217
COc1cc(C=O)ccc1OC(C)=O,creamy; floral; sweet; vanilla,61229,61229
CCCCCCC(=O)CC,fruity; grassy; green; herbal,61235,61235
CC(=O)c1cccn1C,floral; nutty; sweet,61240,61240
C=CC(CC=O)c1ccccc1,cocoa; floral,61243,61243
